symbol,name,price,change,pct_change,volume
ASTLW,ASTLW,0.0,-0.01,-60.98,138352
NCPLW,NCPLW,0.02,-0.02,-52.15,3006
NMCO^,NMCO^,0.02,-0.02,-49.21,1239304
BIAFW,BIAFW,0.25,-0.2,-43.82,6567
LTRYW,LTRYW,0.0,-0.0,-43.75,108132
RIV^,RIV^,0.01,-0.01,-43.33,966912
TWLVR,TWLVR,0.09,-0.06,-38.43,1077
QSEAR,QSEAR,0.17,-0.11,-38.07,19
VEEAW,VEEAW,0.03,-0.01,-37.0,14
CDIOW,CDIOW,0.01,-0.01,-35.9,9778
VACI=,VACI=,6.5,-3.4,-34.34,5612
OPTT,OPTT,0.11,-0.05,-33.38,62802530
DYNCW,DYNCW,0.1,-0.05,-33.33,447
JSPRW,JSPRW,0.01,-0.0,-32.94,17690
UCAR,UCAR,4.97,-2.43,-32.84,165667
SMUP,SMUP,3.92,-1.81,-31.59,524803
SMU,SMU,4.95,-2.27,-31.41,7075506
REVBW,REVBW,0.01,-0.0,-30.85,3030
EONR+,EONR+,0.06,-0.03,-30.77,1459
HLSQ,HLSQ,1.31,-0.54,-28.92,2773851
