symbol,name,price,change,volume
TRUG,TRUG,0.65,0.28,419186150
SURG,SURG,0.17,0.01,204254014
BDRX,BDRX,1.3,0.63,139267095
KHC,KHC,24.6,0.21,123581964
ACVA,ACVA,10.41,3.19,114834982
TNON,TNON,5.93,0.63,107143416
ETHA,ETHA,19.16,0.6,96212647
SMR,SMR,8.61,-1.6,91794918
NVDA,NVDA,218.29,-0.07,85575624
INTC,INTC,102.94,2.62,85085733
NOK,NOK,11.14,0.53,84654005
BITO,BITO,10.38,0.01,84454235
SPCX,SPCX,151.21,3.03,78500985
ORCL,ORCL,150.15,-2.79,78051077
NVD,NVD,3.99,0.01,74533944
NU,NU,14.62,-0.4,65301246
AAL,AAL,13.01,0.16,63391438
SOXS,SOXS,44.16,-2.58,62985757
OPTT,OPTT,0.11,-0.05,62802530
BMNR,BMNR,25.05,0.85,62370759
