symbol,name,price,change,volume
BIAF,BIAF,0.47,0.08,167984229
DVLT,DVLT,0.39,0.07,144488537
OSRH,OSRH,0.43,-0.16,142145125
MSTU,MSTU,1.7,-0.18,133182047
CAST,CAST,2.1,1.24,130678998
SNXX,SNXX,15.6,-3.46,127852123
TSLL,TSLL,8.48,-0.13,123163945
INTC,INTC,96.69,-6.8,120948188
LGCL,LGCL,0.24,-1.17,109492289
NOK,NOK,10.39,-0.39,107942462
XOS,XOS,4.44,2.35,106407663
NVDA,NVDA,219.74,-5.27,102385662
PATH,PATH,15.6,-0.39,93934396
NU,NU,14.35,-0.39,87619401
SOXL,SOXL,128.96,-22.57,84988755
SPCX,SPCX,143.34,-2.89,83496681
ONDS,ONDS,9.06,0.06,78862396
AUR,AUR,6.15,-0.82,77162487
SOXS,SOXS,44.15,5.79,73752111
KEEL,KEEL,3.16,-0.61,71902595
