symbol,name,price,change,volume
SPWR,SPWR,0.4,0.15,282829185
GPRO,GPRO,1.39,-0.3,172452251
TSLL,TSLL,10.38,1.01,149505526
BTAI,BTAI,0.12,0.01,148488242
MIMI,MIMI,0.96,0.32,144375904
NVDA,NVDA,228.45,4.04,131265295
ADBT,ADBT,0.34,-1.38,124575877
SPCX,SPCX,149.74,9.03,120509841
GPUS,GPUS,0.19,-0.01,114928304
GIPR,GIPR,0.52,0.13,109473684
DSS,DSS,0.83,0.28,106369440
TANH,TANH,0.38,0.15,105394375
NVD,NVD,3.65,-0.14,101963001
MDCX,MDCX,0.17,-0.09,93578711
BITO,BITO,11.0,0.6,84022593
IBIT,IBIT,46.35,2.56,83133453
NU,NU,15.68,0.28,80659588
INTC,INTC,91.67,1.62,76009940
NOK,NOK,9.76,-0.08,72976799
TSLG,TSLG,5.16,0.51,72878932
