symbol,name,price,change,pct_change,volume
SRXH,SRXH,1.82,-3.62,-66.56,11046051
REE,REE,0.08,-0.13,-63.35,9527269
TE+,TE+,0.03,-0.04,-54.89,729133
MVO,MVO,0.8,-0.88,-52.38,2391219
RCKTW,RCKTW,0.0,-0.0,-51.61,217353
ALAR,ALAR,3.08,-3.27,-51.5,3916531
JLHL,JLHL,3.69,-3.53,-48.89,3133998
WLDSW,WLDSW,11.2,-9.3,-45.37,48
DFSCW,DFSCW,0.02,-0.01,-39.16,1903
EVLVW,EVLVW,0.02,-0.01,-37.55,581492
JSPRW,JSPRW,0.01,-0.01,-37.04,18962
BRLSW,BRLSW,0.04,-0.02,-35.26,2277
ASBPW,ASBPW,0.02,-0.01,-33.11,254
SABSW,SABSW,0.01,-0.0,-29.53,10869
KTTAW,KTTAW,0.01,-0.0,-29.29,6237
LIDRW,LIDRW,0.02,-0.01,-28.44,116943
WHLR,WHLR,0.74,-0.29,-28.4,1618925
BIYA,BIYA,0.45,-0.18,-28.29,4688516
JEM,JEM,1.65,-0.65,-28.26,4351447
DSYWW,DSYWW,0.02,-0.01,-27.86,49365
