symbol,name,price,change,volume
SOXS,SOXS,4.17,-0.34,528101802
YHC,YHC,0.04,-0.01,430249565
SBEV,SBEV,0.2,0.06,405832026
BITO,BITO,8.64,0.3,360561775
LUCY,LUCY,1.24,0.48,189181064
KIDZ,KIDZ,1.05,0.37,185843048
SPCX,SPCX,160.42,-1.58,185382921
TZA,TZA,3.86,-0.06,164506410
AAL,AAL,17.75,-0.17,139833721
MSTU,MSTU,2.14,-0.01,108381780
NVDA,NVDA,195.55,0.72,106371425
LHSW,LHSW,6.8,5.0,100414372
T,T,20.59,0.01,99575417
OPEN,OPEN,5.09,0.19,87167445
BMNU,BMNU,0.89,0.12,87153503
INTC,INTC,122.2,1.85,85814794
GRAB,GRAB,3.85,-0.05,81515428
SOFI,SOFI,18.61,0.37,80506261
SNDQ,SNDQ,3.03,0.02,75814605
WULF,WULF,22.21,1.03,74248475
