symbol,name,price,change,pct_change,volume
LHSW,LHSW,6.8,5.0,277.78,100414372
LUCYW,LUCYW,0.07,0.05,198.8,49137
FXHO,FXHO,19.55,12.35,171.53,8022791
ERNAW,ERNAW,0.09,0.05,125.0,3507
ZCMD,ZCMD,2.24,1.13,101.8,35896086
IVDAW,IVDAW,0.04,0.02,75.12,66285
BEATW,BEATW,0.03,0.01,74.85,3393
PEW+,PEW+,0.51,0.2,64.52,206408
LUCY,LUCY,1.24,0.48,63.16,189181064
RVSNW,RVSNW,0.03,0.01,60.0,2006
KIDZ,KIDZ,1.05,0.37,54.43,185843048
REVBW,REVBW,0.01,0.0,53.12,5880
APLMW,APLMW,0.02,0.01,50.77,460435
INLF,INLF,6.38,2.06,47.69,4792619
DSX+,DSX+,0.22,0.07,46.0,18423
FSHPR,FSHPR,0.11,0.03,38.88,25688
SBEV,SBEV,0.2,0.06,38.36,405832026
SBCWW,SBCWW,0.29,0.08,37.9,4701
LVWR+,LVWR+,0.02,0.01,36.25,69708
SEER,SEER,2.19,0.57,35.19,28947213
