symbol,name,price,change,pct_change,volume
QTEXW,QTEXW,0.02,-0.04,-63.92,114107
NVNIW,NVNIW,0.02,-0.04,-60.42,62646
LCFYW,LCFYW,4.62,-6.77,-59.44,3413
BNBX,BNBX,0.16,-0.21,-56.75,4656469
MRNOW,MRNOW,0.01,-0.01,-53.16,148637
CELUW,CELUW,0.0,-0.0,-52.94,19376
ASTLW,ASTLW,0.02,-0.02,-45.71,27152
GGROW,GGROW,0.0,-0.0,-44.87,1900
VLN+,VLN+,0.02,-0.02,-43.94,7046
MVSTW,MVSTW,0.0,-0.0,-42.86,147854
FACWW,FACWW,0.8,-0.58,-42.03,402393
DWSN,DWSN,4.42,-3.15,-41.61,1355507
DFSCW,DFSCW,0.02,-0.02,-40.91,21388
BGLWW,BGLWW,0.06,-0.04,-39.33,9639
FGIWW,FGIWW,0.04,-0.02,-36.5,10233
FAC,FAC,6.0,-3.32,-35.62,4082711
CRACW,CRACW,0.05,-0.02,-34.54,43
AEON,AEON,0.32,-0.17,-34.28,556666
VEEAW,VEEAW,0.04,-0.02,-34.19,2138
FOXXW,FOXXW,0.06,-0.03,-33.88,1340
