symbol,name,price,change,volume
SOXS,SOXS,4.67,0.58,598946434
BITO,BITO,8.44,-0.23,277225810
SOBR,SOBR,1.19,0.76,259733063
TZA,TZA,4.09,0.1,199883480
AGEN,AGEN,6.12,2.77,173289908
SNDQ,SNDQ,2.98,0.61,172660748
FTRK,FTRK,0.59,0.19,153316264
AAL,AAL,16.31,-0.64,152668186
ELPW,ELPW,0.37,0.07,147978021
NU,NU,13.69,-0.07,133013949
NVDA,NVDA,203.53,-7.43,120184359
ONDS,ONDS,6.96,-0.3,107005133
NOK,NOK,11.67,-0.77,103438334
INTC,INTC,103.12,-6.72,99408938
SOFI,SOFI,18.13,-0.65,97250512
PATH,PATH,11.86,0.18,90793690
LGPS,LGPS,1.0,0.17,87457316
DRAM,DRAM,57.21,-5.83,77671347
VEEE,VEEE,24.86,20.04,71446666
SPCX,SPCX,139.14,-6.16,70836642
