symbol,name,price,change,volume
VNRX,VNRX,0.51,0.17,348778303
NVDA,NVDA,227.98,18.32,293378706
RITR,RITR,0.1,0.01,244464008
CELU,CELU,2.1,1.22,213887179
NVD,NVD,3.73,-0.76,205757662
WKSP,WKSP,0.63,0.12,191001464
CHOW,CHOW,0.65,0.27,137610902
MERC,MERC,0.39,-0.02,99669982
INTC,INTC,92.09,3.85,99365592
PPCB,PPCB,2.23,1.16,95760578
NCPL,NCPL,0.54,0.04,94355298
BITO,BITO,10.78,0.2,86063432
LGCL,LGCL,0.05,-0.0,85395739
ONDS,ONDS,8.75,0.53,82890928
TSLL,TSLL,9.31,0.44,79553289
PATH,PATH,18.33,1.57,71966767
NOK,NOK,10.58,0.17,68317705
AAL,AAL,13.72,-0.12,64679111
SNXX,SNXX,12.87,-0.27,63139844
OBAI,OBAI,0.37,0.04,62482655
