symbol,name,price,change,volume
SXTC,SXTC,0.07,0.01,331911382
GOSS,GOSS,0.2,0.06,279050772
KIDZ,KIDZ,0.6,0.18,247112549
MTNB,MTNB,0.34,0.1,196800527
NVDA,NVDA,196.51,-10.33,153143563
SNXX,SNXX,11.16,-3.25,150675257
INTC,INTC,91.67,-0.65,132037712
BITO,BITO,8.79,0.09,130081414
MSTU,MSTU,1.98,0.26,119340232
NVD,NVD,5.25,0.48,98624562
NOK,NOK,9.27,0.17,96818207
AAL,AAL,14.95,0.47,93523828
TSLL,TSLL,7.24,-0.18,91989187
SOXL,SOXL,128.09,-8.72,88656664
BIYA,BIYA,4.17,2.24,84547768
ENTX,ENTX,3.92,1.87,82350686
LBGJ,LBGJ,0.03,-0.0,81553133
DRAM,DRAM,52.39,-0.81,76354279
T,T,24.41,0.28,74197475
LVWR,LVWR,2.46,1.0,74107667
