symbol,name,price,change,pct_change,volume
FGIWW,FGIWW,1.76,1.42,422.57,207807
DFNS,DFNS,13.1,8.75,201.15,70579550
LVWR+,LVWR+,0.05,0.03,122.22,1630856
BIYA,BIYA,4.17,2.24,116.06,84547768
ENTX,ENTX,3.92,1.87,91.22,82350686
ASTLW,ASTLW,0.01,0.0,73.68,89506
LVWR,LVWR,2.46,1.0,68.84,74107667
CDIOW,CDIOW,0.02,0.01,51.3,338
GOSS,GOSS,0.2,0.06,46.62,279050772
RCKTW,RCKTW,0.0,0.0,44.0,696840
KIDZ,KIDZ,0.6,0.18,43.64,247112549
NCTY,NCTY,4.54,1.33,41.43,1166213
QBTX,QBTX,9.23,2.64,40.06,5385273
MTNB,MTNB,0.34,0.1,39.77,196800527
FBRX,FBRX,76.5,21.72,39.65,17109307
AACIW,AACIW,0.39,0.1,36.84,21585
ANGHW,ANGHW,0.01,0.0,33.82,2697
FLDDW,FLDDW,0.1,0.03,33.33,232
AIIOW,AIIOW,0.03,0.01,33.07,3488
NIPG,NIPG,19.88,4.83,32.09,220603
