symbol,name,price,change,pct_change,volume
BIOT,BIOT,2.74,-12.88,-82.46,753556
CISS,CISS,0.1,-0.42,-80.31,29790604
YYAI,YYAI,3.0,-8.32,-73.51,2233679
MPLT,MPLT,9.9,-26.66,-72.91,8024611
STAK,STAK,2.52,-6.75,-72.82,13087118
OMH,OMH,0.15,-0.36,-71.12,73019284
RNWWW,RNWWW,0.0,-0.0,-67.65,15121
RSVRW,RSVRW,0.01,-0.01,-65.0,24062
CAPR,CAPR,7.0,-12.71,-64.49,29803880
EGG,EGG,2.06,-3.04,-59.61,378869
AMZE,AMZE,0.31,-0.43,-58.06,5726900
WETO,WETO,0.04,-0.06,-55.4,30755148
LUCYW,LUCYW,0.03,-0.02,-47.27,22444
QBTZ,QBTZ,4.18,-2.83,-40.36,8316866
CCIXW,CCIXW,0.0,-0.0,-39.19,365609
IVDAW,IVDAW,0.02,-0.01,-38.4,37400
BAOS,BAOS,0.71,-0.43,-38.07,262233
ZOOZW,ZOOZW,0.02,-0.01,-36.42,15181
ERNAW,ERNAW,0.05,-0.03,-35.9,18101
TNONW,TNONW,0.01,-0.0,-35.0,120967
