symbol,name,price,change,volume
OLB,OLB,0.34,0.06,304625641
MGN,MGN,0.28,0.18,265389609
AGRZ,AGRZ,0.25,0.02,177792625
FAMI,FAMI,0.13,0.01,150854030
GRAB,GRAB,3.04,-0.21,147935134
SPCX,SPCX,147.55,-5.92,119903800
SUNE,SUNE,4.51,2.14,112073501
INTC,INTC,106.24,1.77,95691940
NOK,NOK,10.76,0.1,84688799
NVDA,NVDA,223.67,-2.06,79039955
UFG,UFG,0.72,0.14,76459881
BITO,BITO,10.51,-0.03,75306858
FTFT,FTFT,2.09,0.78,70118385
NVD,NVD,3.81,0.07,68265700
NU,NU,14.99,-0.34,68205817
F,F,13.47,-0.53,67171425
TSLL,TSLL,9.85,-0.02,66511584
AAPL,AAPL,315.34,-0.88,64659399
SNXX,SNXX,17.83,0.46,61244115
PATH,PATH,13.57,-0.44,57785950
