symbol,name,price,change,pct_change,volume
NTRBW,NTRBW,0.2,-0.35,-63.64,10287
TMCWW,TMCWW,0.0,-0.0,-45.0,2021465
CRMT,CRMT,1.48,-1.01,-40.76,2764234
BEATW,BEATW,0.01,-0.0,-40.17,74906
PIIIW,PIIIW,0.01,-0.0,-39.34,11980
NUR,NUR,1.55,-0.91,-36.99,2758226
ABLVW,ABLVW,0.01,-0.01,-31.69,1220
TTAN,TTAN,57.12,-24.46,-29.98,22826558
GCDT,GCDT,0.64,-0.27,-29.7,13521412
GRNQ,GRNQ,13.23,-5.57,-29.63,235894
LEXX,LEXX,6.6,-2.77,-29.56,73122
MWYN,MWYN,0.88,-0.34,-27.99,464768
TNON,TNON,2.44,-0.92,-27.38,11303688
NOEMW,NOEMW,0.12,-0.04,-27.23,4214
STLNW,STLNW,0.04,-0.01,-27.09,1206
GRMLW,GRMLW,0.18,-0.07,-27.02,6940
LVWR+,LVWR+,0.02,-0.01,-26.43,13100
WZRD,WZRD,9.48,-3.28,-25.68,6526
SSM,SSM,2.31,-0.77,-24.92,167068
HPAI,HPAI,0.3,-0.1,-24.56,27232732
