symbol,name,price,change,pct_change,volume
MGN,MGN,0.28,0.18,174.7,265389609
SUNE,SUNE,4.51,2.14,90.3,112073501
YMAT,YMAT,2.27,0.94,71.32,35044678
NCPLW,NCPLW,0.03,0.01,66.19,4105
NCOOW,NCOOW,0.05,0.02,66.11,6470
FTFT,FTFT,2.09,0.78,59.54,70118385
MOBXW,MOBXW,0.12,0.04,51.68,143058
IRHOR,IRHOR,0.21,0.07,49.47,262011
RML,RML,11.6,3.6,45.0,1554853
FSHPR,FSHPR,0.07,0.02,44.51,7279
RIBBU,RIBBU,14.9,4.58,44.38,6941
KITTW,KITTW,0.02,0.01,41.67,58006
NMCO^#,NMCO^#,0.04,0.01,41.14,69894
FLDDW,FLDDW,0.08,0.02,38.5,21682
DSACW,DSACW,0.8,0.22,37.93,1536769
FVNNU,FVNNU,13.7,3.76,37.83,9370
BETRW,BETRW,0.12,0.03,37.21,2106
ZKPW,ZKPW,0.32,0.08,34.96,15546
VFSWW,VFSWW,0.26,0.07,34.68,150
RVSNW,RVSNW,0.02,0.01,33.33,14492
