symbol,name,price,change,volume
DCX,DCX,0.06,-0.01,511477710
ATCH,ATCH,0.19,-0.0,158881231
RETO,RETO,0.17,0.01,158753349
GLND,GLND,5.35,2.44,151392373
ATYR,ATYR,0.34,-0.04,128223392
INTC,INTC,127.39,4.79,117885916
ONDS,ONDS,7.6,0.2,113985987
CTNT,CTNT,0.03,-0.01,95318311
TWG,TWG,0.2,-0.06,90781902
APUS,APUS,5.03,2.74,86669243
GCDT,GCDT,0.69,0.18,84476072
AAL,AAL,13.35,0.0,83943826
SOXS,SOXS,33.66,0.0,82981480
PFSA,PFSA,3.03,0.98,78569995
NVDA,NVDA,224.58,-0.93,75765748
NOK,NOK,10.43,-0.2,74782343
HYG,HYG,77.9,-0.2,73511665
SPCX,SPCX,148.03,-0.33,72346189
NVD,NVD,3.75,0.03,71497632
UNG,UNG,11.54,0.68,66225400
