symbol,name,price,change,volume
BITO,BITO,8.7,-0.03,639634842
SNDQ,SNDQ,4.22,0.31,329003529
ONDS,ONDS,6.53,-0.12,214073430
SLND,SLND,1.16,0.48,202005715
AAL,AAL,14.98,-0.62,176691169
DFNS,DFNS,0.04,-0.01,152158273
SNXX,SNXX,13.23,-1.25,148274535
NVDA,NVDA,202.81,-4.59,143409896
NFLX,NFLX,68.95,-5.4,141234882
DRAM,DRAM,52.66,0.32,135445107
INTC,INTC,95.04,-1.94,123788062
NOK,NOK,10.11,-0.27,115511346
NU,NU,13.59,-0.2,112184304
SOXS,SOXS,54.92,2.9,106683102
OPEN,OPEN,4.5,-0.07,106389674
SOXL,SOXL,135.13,-7.35,104481616
EOSER,EOSER,0.02,-0.01,100833374
PATH,PATH,12.15,0.12,92252365
JOBY,JOBY,7.24,-0.1,90851648
SOFI,SOFI,17.28,-0.04,89721415
