symbol,name,price,change,pct_change,volume
RNWWW,RNWWW,0.0,-0.0,-54.55,54019
NEXRW,NEXRW,0.01,-0.02,-52.94,10500
VIVK,VIVK,2.26,-2.0,-46.95,2366797
STAK,STAK,1.92,-1.66,-46.37,29159538
RDACR,RDACR,0.09,-0.06,-43.27,42217
BURU,BURU,0.07,-0.05,-39.38,39417291
ACHR+,ACHR+,0.03,-0.02,-33.91,91272
QMLS,QMLS,14.28,-7.15,-33.36,238579
CYCU,CYCU,0.32,-0.15,-32.68,2419107
EOSER,EOSER,0.02,-0.01,-32.16,100833374
TGHL,TGHL,1.04,-0.48,-31.58,5232514
DSYWW,DSYWW,0.02,-0.01,-31.3,6509
BBLGW,BBLGW,9.95,-4.05,-28.93,1
CSAI,CSAI,0.3,-0.12,-28.62,2561505
ISUL,ISUL,12.27,-4.9,-28.54,993861
WZRD,WZRD,2.48,-0.98,-28.39,19553
VGASW,VGASW,0.02,-0.01,-28.19,35702
BEATW,BEATW,0.02,-0.01,-28.13,48648
MTEKW,MTEKW,0.15,-0.06,-28.05,2000
MVSTW,MVSTW,0.0,-0.0,-27.78,310437
