symbol,name,price,change,pct_change,volume
ANSCW,ANSCW,0.01,0.01,395.0,372404
TMCWW,TMCWW,0.08,0.05,178.95,1609911
YJ,YJ,3.4,2.03,148.18,49484375
MB,MB,8.92,5.12,134.74,31664067
WWR,WWR,0.76,0.35,86.03,99737628
FACTW,FACTW,0.19,0.08,79.81,6749
SLDPW,SLDPW,0.06,0.02,71.18,47918
GGROW,GGROW,0.01,0.0,70.73,3862
VATE,VATE,12.12,4.71,63.6,14183165
RCEL,RCEL,7.77,3.02,63.58,7236916
BIAFW,BIAFW,0.09,0.03,61.87,22
NAMI,NAMI,4.41,1.53,53.12,49592037
HCWC,HCWC,0.3,0.1,50.95,648797368
CDTTW,CDTTW,0.01,0.0,50.0,1250
BNCWZ,BNCWZ,0.06,0.02,47.9,9557
GENVR,GENVR,3.4,1.03,43.46,475421
BGLWW,BGLWW,0.06,0.02,42.89,2160
IVDAW,IVDAW,0.02,0.01,42.86,16593
XOSWW,XOSWW,0.0,0.0,42.86,108214
VIVS,VIVS,0.47,0.14,41.86,94228582
