symbol,name,price,change,volume
HCWC,HCWC,0.3,0.1,648797368
YYAI,YYAI,0.08,-0.0,243116261
SPCX,SPCX,133.11,18.19,237089374
HTZ,HTZ,2.27,0.25,223483062
MSTU,MSTU,2.0,0.12,222291859
TTD,TTD,13.8,-3.87,132750931
CPOP,CPOP,0.38,0.02,113485156
RCON,RCON,0.04,-0.01,110414929
NVDA,NVDA,223.96,4.97,104734756
SLGB,SLGB,0.56,0.05,101620285
WWR,WWR,0.76,0.35,99737628
SNXX,SNXX,9.06,-0.78,96662242
QNME,QNME,0.48,0.0,94512508
VIVS,VIVS,0.47,0.14,94228582
TSLL,TSLL,8.11,0.43,92056161
PLTR,PLTR,172.01,16.09,76173748
INTC,INTC,101.65,1.84,74082951
ONDS,ONDS,9.11,0.37,72290560
SPCH,SPCH,8.29,1.99,69933533
BTG,BTG,5.03,0.94,69156894
