symbol,name,price,change,pct_change,volume
BKSY+,BKSY+,0.0,-0.01,-78.0,27180
LIDRW,LIDRW,0.0,-0.01,-74.0,1262474
HUBCZ,HUBCZ,0.01,-0.01,-68.18,50839
PN,PN,3.21,-5.08,-61.28,2491702
CVRX,CVRX,2.39,-3.55,-59.76,14491112
WYHG,WYHG,4.43,-5.4,-54.93,1427158
AMEM,AMEM,24.82,-28.18,-53.17,2293
ACONW,ACONW,0.02,-0.02,-50.2,107274
LASC,LASC,14.51,-13.57,-48.32,84719
BCARU,BCARU,2.76,-2.54,-47.92,401
TTDU,TTDU,1.38,-1.08,-43.9,12742925
SABSW,SABSW,0.01,-0.01,-43.78,6072
INHD,INHD,5.14,-3.79,-42.39,877403
MRNOW,MRNOW,0.01,-0.01,-41.86,18186
TLSIW,TLSIW,0.9,-0.63,-41.18,1053
MNTSW,MNTSW,0.0,-0.0,-41.03,546873
SAIHW,SAIHW,0.03,-0.02,-39.78,2506
DAVEW,DAVEW,1.34,-0.79,-37.09,62443
HPAIW,HPAIW,0.02,-0.01,-36.91,545
RNWWW,RNWWW,0.0,-0.0,-36.84,57241
