symbol,name,price,change,pct_change,volume
MI,MI,3.02,-4.21,-58.23,515507
GTERW,GTERW,0.03,-0.03,-49.0,67
SCAGW,SCAGW,0.01,-0.01,-47.76,16007
SUGP,SUGP,1.6,-1.18,-42.34,39510187
RCKTW,RCKTW,0.0,-0.0,-41.18,66885
OABIW,OABIW,0.17,-0.1,-38.09,12784
GDC,GDC,1.56,-0.93,-37.35,10667329
CDTG,CDTG,1.18,-0.65,-35.52,2980684
JSPRW,JSPRW,0.01,-0.0,-34.43,16369
SCLXW,SCLXW,0.11,-0.05,-34.31,262
AESPW,AESPW,0.05,-0.02,-34.19,68
JZ,JZ,2.2,-1.12,-33.73,997020
DAICW,DAICW,0.0,-0.0,-33.33,132283
LGCL,LGCL,0.06,-0.03,-31.33,94303367
EDBLW,EDBLW,0.03,-0.01,-30.61,634
HDRNW,HDRNW,0.12,-0.05,-30.3,129634
BNCWZ,BNCWZ,0.04,-0.02,-29.22,114
PFSA,PFSA,5.46,-2.11,-27.87,616841
COCHW,COCHW,0.04,-0.01,-27.44,8681
HOOZ,HOOZ,8.73,-3.29,-27.37,1262900
