symbol,name,price,change,volume
HOWL,HOWL,0.87,0.44,292148955
MSTU,MSTU,2.73,0.3,203564981
KNRX,KNRX,0.52,0.19,134974596
TSLL,TSLL,9.77,0.89,134330298
GOSS,GOSS,0.15,-0.0,129588240
IBIT,IBIT,43.68,2.48,114824837
BITO,BITO,10.4,0.59,113084208
MARA,MARA,11.26,0.11,101560944
NVDA,NVDA,214.72,-2.13,97835146
LGCL,LGCL,0.06,-0.03,94303367
CAN,CAN,0.35,0.08,91489741
USDE,USDE,7.41,3.41,91187550
INTC,INTC,90.07,-2.06,90797656
MRNA,MRNA,145.13,11.81,86745321
SPCX,SPCX,136.97,2.97,78133702
GRML,GRML,0.2,0.04,76392505
AAL,AAL,13.82,0.3,68324422
ETHA,ETHA,18.24,0.69,66948371
NU,NU,14.58,0.37,65956681
SOFI,SOFI,18.91,0.99,61988357
