symbol,name,price,change,pct_change,volume
SCKT,SCKT,2.13,1.74,451.24,209647727
HUBCZ,HUBCZ,0.02,0.01,207.94,48090
BCARU,BCARU,7.5,4.74,171.74,370012
JWEL,JWEL,4.0,2.43,154.78,83550665
RCKTW,RCKTW,0.0,0.0,136.36,8163
ENGNW,ENGNW,0.48,0.27,134.03,250
STKH,STKH,4.3,2.42,128.72,75250733
GDEVW,GDEVW,0.01,0.0,107.14,4612
RNWWW,RNWWW,0.0,0.0,66.67,5701
FGIWW,FGIWW,0.14,0.05,61.25,7310
AUUD,AUUD,1.32,0.5,60.54,135479210
HOLOW,HOLOW,0.08,0.03,59.68,3001
ERNAW,ERNAW,0.06,0.02,57.89,4114
VLOSW,VLOSW,0.47,0.17,56.06,90
BWMN,BWMN,42.42,15.19,55.78,3060498
ACHR+,ACHR+,0.07,0.03,55.78,1020213
XHLD,XHLD,3.11,1.09,53.96,53780212
GGROW,GGROW,0.01,0.0,53.66,35100
VREX,VREX,18.46,6.05,48.75,13227582
ZOOZW,ZOOZW,0.03,0.01,46.78,1
