symbol,name,price,change,volume
SOAR,SOAR,0.17,0.03,313187971
SCKT,SCKT,2.13,1.74,209647727
SPCX,SPCX,138.74,5.63,167130710
MSTU,MSTU,1.89,-0.1,151237253
YYAI,YYAI,0.08,0.0,147770280
AUUD,AUUD,1.32,0.5,135479210
ACHR,ACHR,6.25,0.67,126803623
PLUG,PLUG,2.11,-0.07,117252567
NVDA,NVDA,217.55,-6.41,113019393
RCON,RCON,0.04,0.0,111439211
INTC,INTC,97.52,-4.13,99955068
EVTL,EVTL,0.91,-0.45,92358446
ONDS,ONDS,9.31,0.2,87418988
JWEL,JWEL,4.0,2.43,83550665
TSLL,TSLL,8.21,0.1,78053084
YMT,YMT,0.3,-0.05,77741032
STKH,STKH,4.3,2.42,75250733
HTZ,HTZ,2.12,-0.15,70190771
SPCH,SPCH,8.98,0.7,68716622
SNXX,SNXX,9.45,0.34,63903609
