symbol,name,price,change,pct_change,volume
AFJKR,AFJKR,0.11,-0.23,-68.44,613341
WGSWW,WGSWW,0.0,-0.0,-56.67,203917
AFJK,AFJK,12.89,-13.11,-50.42,214167
SORNW,SORNW,0.28,-0.28,-50.01,6461
RDACR,RDACR,0.07,-0.07,-49.93,13
OIOWW,OIOWW,0.04,-0.03,-46.71,11
MDCXW,MDCXW,0.36,-0.26,-42.11,17274
NXGLW,NXGLW,0.03,-0.02,-42.04,50479
FGIWW,FGIWW,0.09,-0.06,-40.04,43118
REVBW,REVBW,0.01,-0.0,-38.0,650
QTEXW,QTEXW,0.03,-0.02,-36.53,22888
CCGWW,CCGWW,0.01,-0.01,-36.28,31
COOTW,COOTW,0.01,-0.01,-35.38,538
RNWWW,RNWWW,0.0,-0.0,-34.38,36610
BYRN,BYRN,3.94,-2.0,-33.67,5213608
RXT,RXT,4.37,-2.21,-33.59,59130269
ILLRW,ILLRW,0.03,-0.01,-31.69,41914
SES+,SES+,0.02,-0.01,-31.03,3521
ONFOW,ONFOW,0.01,-0.01,-30.86,235937
RSVRW,RSVRW,0.07,-0.03,-30.0,5882
