symbol,name,price,change,pct_change,volume
JLHL,JLHL,12.79,9.73,317.97,72957156
GIPRW,GIPRW,0.05,0.02,101.73,11
VRAX,VRAX,6.36,3.18,100.0,71070994
FBRX,FBRX,36.7,16.12,78.33,4810833
NRSNW,NRSNW,0.12,0.05,68.8,88
MRNOW,MRNOW,0.02,0.01,60.0,3000
VLN+,VLN+,0.04,0.01,58.57,42303
TRAX,TRAX,32.4,11.63,55.99,4471446
CIRC,CIRC,0.93,0.32,53.4,80942536
JSPRW,JSPRW,0.01,0.0,52.94,7809
LASC,LASC,28.57,9.85,52.58,25729
RVSNW,RVSNW,0.02,0.01,49.38,446
WRAP,WRAP,2.36,0.77,48.43,58804644
GGROW,GGROW,0.01,0.0,45.0,648
CELUW,CELUW,0.0,0.0,44.44,210293
TDTH,TDTH,2.59,0.76,41.53,11166489
QSEAR,QSEAR,0.23,0.07,41.36,55658
ANGHW,ANGHW,0.01,0.0,41.33,12038
RCKTW,RCKTW,0.0,0.0,40.74,16513
CDTTW,CDTTW,0.01,0.0,37.61,206
