symbol,name,price,change,volume
SOXS,SOXS,4.07,-0.43,673376140
BITO,BITO,8.58,0.14,326768067
EDBL,EDBL,0.12,0.0,187523660
SNDQ,SNDQ,2.54,-0.41,169862398
TZA,TZA,3.92,-0.14,166023551
RKTO,RKTO,0.91,0.11,143550352
NVDA,NVDA,202.78,-1.34,130731266
AAL,AAL,17.06,0.54,123669792
EOSER,EOSER,0.04,-0.01,119592745
YHC,YHC,0.03,-0.01,117213879
OPEN,OPEN,5.3,0.51,111953716
INTC,INTC,112.54,2.3,98651069
NOK,NOK,12.91,0.96,96973249
NU,NU,13.65,0.28,96735329
LGHL,LGHL,0.36,0.04,84323334
RIVN,RIVN,18.12,1.46,83502524
ONDS,ONDS,7.65,0.13,82679981
CIRC,CIRC,0.93,0.32,80942536
PATH,PATH,11.81,0.39,78623506
MARA,MARA,13.22,1.2,77885661
