symbol,name,price,change,pct_change,volume
CCIXW,CCIXW,0.01,-0.63,-98.58,655566
FGIWW,FGIWW,0.02,-0.07,-73.22,53416
CELUW,CELUW,0.0,-0.0,-72.73,622558
EVLVW,EVLVW,0.0,-0.0,-53.57,2856499
QTEXW,QTEXW,0.01,-0.01,-46.67,106977
ILLR,ILLR,1.28,-1.03,-44.59,1563398
SNTI,SNTI,0.58,-0.38,-39.71,2578522
SNWV,SNWV,7.27,-4.69,-39.21,2102895
SRZNW,SRZNW,0.01,-0.0,-33.33,148042
CRDF,CRDF,0.89,-0.42,-32.11,12617547
VEEE,VEEE,26.59,-11.92,-30.95,7276115
GIBOW,GIBOW,0.02,-0.01,-30.65,800
DAICW,DAICW,0.01,-0.0,-29.41,13209
AIMDW,AIMDW,0.11,-0.04,-29.33,4155
GRRR,GRRR,11.89,-4.88,-29.1,7383046
ENGNW,ENGNW,0.21,-0.08,-27.59,101
EOSER,EOSER,0.03,-0.01,-27.0,64795524
SWAGW,SWAGW,0.02,-0.01,-26.67,454
AAOG,AAOG,3.51,-1.25,-26.26,1688240
AAOX,AAOX,15.74,-5.52,-25.96,6770047
