symbol,name,price,change,pct_change,volume
JTAI,JTAI,3.14,2.68,580.1,29747992
MRNOW,MRNOW,0.02,0.01,94.06,127934
CPHI,CPHI,1.11,0.5,81.36,68791722
AIIA^,AIIA^,0.37,0.16,77.31,18835
SOBR,SOBR,2.07,0.9,76.92,170053106
TWLVR,TWLVR,0.2,0.08,66.53,1000
BEATW,BEATW,0.03,0.01,61.88,5190
KWMWW,KWMWW,0.02,0.01,50.94,3151
ELVA,ELVA,11.76,3.87,49.05,29847338
AEHG,AEHG,10.2,3.01,41.86,1509737
LBGJ,LBGJ,1.83,0.52,39.69,4195881
FOXXW,FOXXW,0.08,0.02,36.54,10900
NVVE,NVVE,21.56,5.76,36.46,5498967
JLHL,JLHL,10.75,2.85,36.08,10485549
PYPU,PYPU,35.81,9.18,34.47,65267
PYPG,PYPG,8.21,2.1,34.37,5040474
WAI,WAI,2.57,0.65,33.85,1176716
CNEY,CNEY,1.0,0.25,33.33,33268628
TDWDR,TDWDR,0.17,0.04,33.23,500
CRACW,CRACW,0.06,0.01,32.23,167
