symbol,name,price,change,volume
BITO,BITO,8.8,0.06,496221820
SNDQ,SNDQ,3.12,0.45,200376620
AAL,AAL,15.63,-0.04,181391518
NU,NU,13.89,-0.1,180019130
SOBR,SOBR,2.07,0.9,170053106
PMI,PMI,0.15,0.01,131208379
ONDS,ONDS,7.05,-0.31,130940836
PATH,PATH,11.95,0.01,126625767
NVDA,NVDA,212.5,0.7,122986825
INTC,INTC,102.99,-4.77,119665944
OPEN,OPEN,4.75,0.2,115182876
NOK,NOK,11.24,-0.46,114156104
SNXX,SNXX,19.26,-3.67,114100255
VIVS,VIVS,0.85,0.02,113160547
LIMN,LIMN,0.11,0.01,104282767
DRAM,DRAM,57.36,-3.87,90845662
PYPL,PYPL,55.51,8.14,89857710
NVD,NVD,4.55,-0.02,84674054
KUST,KUST,1.31,0.3,84189962
MSTU,MSTU,1.98,-0.01,82746780
