symbol,name,price,change,pct_change,volume
JAGX,JAGX,8.91,-25.55,-74.14,11348250
JSPRW,JSPRW,0.0,-0.0,-65.79,428938
HVIIU,HVIIU,4.63,-5.39,-53.79,5119
ADGM,ADGM,0.23,-0.24,-51.37,18242451
HVII,HVII,4.46,-4.6,-50.77,463058
FGIWW,FGIWW,0.05,-0.05,-50.0,1
SCAGW,SCAGW,0.01,-0.01,-40.0,4489
RDACR,RDACR,0.06,-0.04,-39.9,98
NCOOW,NCOOW,0.03,-0.02,-38.0,200
HOLOW,HOLOW,0.03,-0.02,-37.52,1851
PCTTU,PCTTU,5.8,-3.19,-35.48,4
AUROW,AUROW,0.03,-0.02,-33.6,52293
AIIA^,AIIA^,0.12,-0.06,-33.33,16119
ANGHW,ANGHW,0.01,-0.0,-32.69,30081
FLDDW,FLDDW,0.08,-0.04,-31.27,8006
ARBEW,ARBEW,0.01,-0.0,-30.68,59579
RPGL,RPGL,1.0,-0.43,-30.21,568887
IMCC,IMCC,2.91,-1.23,-29.71,29043388
DCX,DCX,0.07,-0.03,-29.69,22778074
OXBRW,OXBRW,0.14,-0.06,-29.5,28
