symbol,name,price,change,volume
VTGN,VTGN,0.37,0.12,569971358
BENF,BENF,2.9,2.36,284887425
BFRG,BFRG,0.95,0.35,188706271
GCDT,GCDT,0.49,0.15,188109812
CTNT,CTNT,0.04,-0.01,180806655
GRAB,GRAB,3.2,0.03,113506336
WBD,WBD,30.76,-0.07,109298797
MSS,MSS,2.1,0.54,93620817
WHLR,WHLR,5.44,3.57,89340007
NVDA,NVDA,225.51,-3.36,85807311
INTC,INTC,122.6,-1.26,84201969
SOXS,SOXS,33.65,1.23,81246033
NVD,NVD,3.72,0.11,80593572
CAPS,CAPS,0.2,0.03,77930232
IONQ,IONQ,42.54,1.8,72019074
BITO,BITO,11.35,-0.23,70139163
HL,HL,18.28,-0.75,68825453
ZEO,ZEO,0.4,-0.09,68737428
HYG,HYG,78.1,-0.57,66552837
EDVA,EDVA,0.21,-0.02,65498378
