symbol,name,price,change,pct_change,volume
RIV^,RIV^,0.0,-0.01,-65.0,1392109
GFAIW,GFAIW,0.01,-0.01,-64.91,5857
BNCWW,BNCWW,0.01,-0.01,-41.01,16
NVNIW,NVNIW,0.02,-0.01,-40.73,10790
BANL,BANL,9.01,-6.19,-40.72,211363
TRBG,TRBG,7.34,-4.5,-38.01,643944
PCTTW,PCTTW,1.6,-0.97,-37.74,6769
VEEAW,VEEAW,0.03,-0.01,-37.25,4109
BTAI,BTAI,0.07,-0.04,-37.11,36763743
IPEXU,IPEXU,8.0,-4.38,-35.38,8400
LULG,LULG,4.27,-2.31,-35.11,6287326
LCFYW,LCFYW,3.59,-1.91,-34.73,1421
PATX,PATX,13.54,-6.73,-33.2,411925
ABLVW,ABLVW,0.01,-0.01,-32.24,12011
CMND,CMND,1.16,-0.54,-31.76,15281092
IPEX,IPEX,7.75,-3.2,-29.22,157790
FGL,FGL,9.3,-3.75,-28.74,92749
HVIIU,HVIIU,10.85,-4.35,-28.62,5294
AIIOW,AIIOW,0.02,-0.01,-27.88,53123
BZFDW,BZFDW,0.01,-0.0,-26.36,295167
