symbol,name,price,change,volume
LIMN,LIMN,0.15,0.04,550997114
IVDA,IVDA,0.53,0.16,173970271
SNXX,SNXX,14.09,3.02,171867993
OPEN,OPEN,3.65,0.16,169880296
MSTU,MSTU,1.88,0.07,128470834
ONDS,ONDS,8.91,-0.86,122043917
SMCI,SMCI,39.16,1.55,121595496
SPCX,SPCX,141.29,-4.86,119146834
TSLL,TSLL,8.64,0.59,117199218
INTC,INTC,104.56,3.61,116070894
HTZ,HTZ,2.35,-0.46,114108505
NOK,NOK,10.59,0.27,111561152
DFSC,DFSC,2.31,1.05,109683108
RCON,RCON,0.03,0.0,108027557
PATH,PATH,16.68,1.43,104475801
FGI,FGI,11.72,6.99,100767856
NVDA,NVDA,225.3,1.21,98012578
XHG,XHG,4.1,3.18,84206731
OTLK,OTLK,0.89,-0.21,81820940
GXAI,GXAI,1.26,0.39,81477171
