symbol,name,price,change,pct_change,volume
XHG,XHG,4.1,3.18,348.04,84206731
EDBLW,EDBLW,0.07,0.05,196.23,110388
FGI,FGI,11.72,6.99,147.78,100767856
DFSC,DFSC,2.31,1.05,83.33,109683108
FGIWW,FGIWW,0.16,0.07,78.0,977403
DFSCW,DFSCW,0.03,0.01,77.51,140056
BBBY+,BBBY+,0.56,0.24,77.1,6537789
SKYAW,SKYAW,0.03,0.01,71.76,3506
ASTLW,ASTLW,0.01,0.0,70.0,41646
POLEW,POLEW,0.23,0.09,64.29,12824
IVDAW,IVDAW,0.04,0.01,63.64,49771
AHT-H,AHT-H,7.59,2.79,58.12,57033
INHD,INHD,10.84,3.95,57.33,2544812
RMSGW,RMSGW,0.04,0.01,56.13,8425
VWAVW,VWAVW,0.17,0.06,54.55,42384
AHT-I,AHT-I,7.34,2.54,52.92,83387
AHT-G,AHT-G,7.39,2.53,52.06,81450
KWMWW,KWMWW,0.01,0.0,49.25,58575
CDTTW,CDTTW,0.01,0.0,48.89,239
SBCWW,SBCWW,0.28,0.09,47.29,18896
