symbol,name,price,change,pct_change,volume
FEED,FEED,1.03,-2.32,-69.25,1074954
HCAI,HCAI,0.61,-1.25,-67.18,2891009
CTNT,CTNT,0.06,-0.09,-59.18,217263510
SHFSW,SHFSW,0.01,-0.01,-55.04,46828
SOBR,SOBR,0.2,-0.19,-47.96,2703571
ASTLW,ASTLW,0.01,-0.0,-44.9,27935
BBLGW,BBLGW,5.0,-4.03,-44.63,3014
NCT,NCT,0.3,-0.2,-40.54,6330586
GFAIW,GFAIW,0.01,-0.01,-39.7,5542
SLND+,SLND+,0.01,-0.01,-39.65,5629
BIVIW,BIVIW,0.29,-0.18,-38.95,255394
KLXER,KLXER,0.02,-0.01,-37.83,445145
SCNI,SCNI,1.54,-0.9,-36.89,1328383
WTGUR,WTGUR,0.11,-0.06,-35.29,6
AENTW,AENTW,0.22,-0.11,-33.03,20731
BZFDW,BZFDW,0.01,-0.0,-32.94,134963
CNTB,CNTB,1.17,-0.56,-32.17,11568718
ASPCR,ASPCR,0.08,-0.03,-31.57,94
FACTW,FACTW,0.12,-0.05,-31.03,221
SWRD,SWRD,1.94,-0.84,-30.22,816979
