symbol,name,price,change,volume
PDSB,PDSB,0.59,0.19,360482940
ADBT,ADBT,0.13,0.03,260534412
CTNT,CTNT,0.06,-0.09,217263510
RETO,RETO,2.8,2.44,205977742
VEEA,VEEA,5.71,3.42,198860897
DVLT,DVLT,0.16,-0.04,155334255
SUGP,SUGP,0.66,-0.05,148127991
TRUG,TRUG,0.54,-0.1,142973265
BITO,BITO,10.22,-0.39,113821103
NVDA,NVDA,212.17,1.21,84880332
NOK,NOK,9.81,0.17,83501836
AAL,AAL,12.77,-0.33,82555226
NVD,NVD,4.22,-0.04,82349751
INTC,INTC,97.14,-0.05,79155665
IBIT,IBIT,43.11,-1.63,76473734
TSLG,TSLG,4.59,-0.06,76295916
FBDT,FBDT,1.0,0.36,73967905
ETHA,ETHA,18.2,-0.97,72840048
PATH,PATH,14.25,-0.41,71767137
SPCX,SPCX,143.49,-4.66,71338801
