symbol,name,price,change,volume
VVOS,VVOS,0.2,-0.03,527629003
PASW,PASW,0.15,0.02,345215875
CLGN,CLGN,0.39,0.03,180213923
PCG,PCG,13.28,-3.32,153172904
AIM,AIM,0.23,-0.03,123423932
NVDA,NVDA,220.5,2.95,120604097
GPRO,GPRO,0.88,0.28,116869131
TSLL,TSLL,9.97,0.99,112921369
RDHL,RDHL,0.9,0.25,102138668
CNH,CNH,11.84,0.16,101288771
NVD,NVD,3.93,-0.12,95571671
NU,NU,14.55,0.25,95140403
BITO,BITO,10.63,0.18,82715090
COOT,COOT,0.59,0.13,76426382
TSLG,TSLG,4.97,0.5,73186451
AAL,AAL,13.43,-0.21,68731211
FNGR,FNGR,0.22,-0.17,67030650
INTC,INTC,89.51,0.04,64255625
SNXX,SNXX,14.29,1.42,63732743
SOAR,SOAR,0.24,0.02,63372755
