symbol,name,price,change,pct_change,volume
PLAG,PLAG,5.71,5.14,909.37,188628472
KTTAW,KTTAW,0.01,0.0,114.29,400
WXM,WXM,7.9,3.9,97.5,41856611
ALFUW,ALFUW,0.3,0.14,87.5,2820
QMCO,QMCO,19.4,7.62,64.69,16328814
NXGLW,NXGLW,0.02,0.01,62.5,8581
XOSWW,XOSWW,0.0,0.0,58.33,85862
AIFA,AIFA,3.18,1.07,50.71,6905884
MSGY,MSGY,3.43,1.12,48.2,40352443
STIM,STIM,3.19,1.02,47.0,28745558
SATLW,SATLW,1.12,0.33,42.62,19823
NIQ,NIQ,16.57,4.89,41.87,9817076
SXTPW,SXTPW,0.04,0.01,41.11,5010
KPET+,KPET+,0.7,0.2,39.97,100
RIBBR,RIBBR,0.28,0.08,39.45,90811
NE+,NE+,25.07,7.04,39.05,534
ANSCW,ANSCW,0.01,0.0,38.89,5042
TISI,TISI,22.5,5.95,35.95,213445
ASTLW,ASTLW,0.01,0.0,35.14,22758
LIMNW,LIMNW,0.07,0.02,33.6,723
