symbol,name,price,change,volume
OMH,OMH,0.11,0.03,350243870
PLAG,PLAG,5.71,5.14,188628472
INTC,INTC,97.71,0.19,163312805
MREO,MREO,0.31,0.03,162446721
PLUG,PLUG,2.22,0.11,145404843
GLE,GLE,0.49,0.11,142886568
BYND,BYND,0.42,-0.1,142107547
UZX,UZX,0.15,-0.07,124383881
HTZ,HTZ,2.45,0.33,112574107
MSTU,MSTU,1.84,-0.05,108737277
SPCX,SPCX,133.29,-5.45,107593645
NVDA,NVDA,217.5,-0.05,100362585
CIGL,CIGL,0.6,0.15,94896253
TSLL,TSLL,8.31,0.1,89954774
ACHR,ACHR,6.77,0.51,89614043
FRTT,FRTT,1.29,0.31,87461074
BITO,BITO,8.56,-0.07,83830861
ZONE,ZONE,0.16,-0.19,80012900
RCON,RCON,0.03,-0.0,78797642
NU,NU,13.65,-0.21,77968776
