symbol,name,price,change,volume
CTNT,CTNT,0.05,0.0,616724176
SPCX,SPCX,152.71,-2.1,332416790
MRNO,MRNO,0.34,0.12,325292530
QNME,QNME,0.56,0.27,322365295
GIPR,GIPR,0.72,0.28,295807750
TRUG,TRUG,0.5,0.11,250438573
AGNC,AGNC,9.87,-0.04,183415774
NVDA,NVDA,222.27,2.93,181632561
INTC,INTC,108.6,-0.2,171007818
NOK,NOK,10.68,0.08,161523505
RETO,RETO,0.19,-0.02,135963059
TTD,TTD,13.92,-0.34,134383352
NCPL,NCPL,0.74,0.17,125024076
NFLX,NFLX,71.79,-3.52,113015178
F,F,13.21,-0.4,108676108
AMZE,AMZE,0.15,0.01,108525160
GRAB,GRAB,2.79,-0.01,105177559
IMCC,IMCC,4.23,2.49,103744597
BITO,BITO,10.91,0.64,100821527
REFR,REFR,0.65,0.27,88662757
