symbol,name,price,change,pct_change,volume
FGIWW,FGIWW,0.1,0.06,181.69,8796
IMCC,IMCC,4.23,2.49,143.1,103744597
WALDW,WALDW,0.01,0.0,102.86,3661992
QNME,QNME,0.56,0.27,92.25,322365295
NCPLW,NCPLW,0.03,0.01,79.64,23124
SBFMW,SBFMW,0.05,0.02,74.19,2000
REFR,REFR,0.65,0.27,71.3,88662757
NXATW,NXATW,0.02,0.01,66.67,28166
RDACR,RDACR,0.1,0.04,64.73,1493
GIPR,GIPR,0.72,0.28,63.44,295807750
GEMG,GEMG,12.03,4.53,60.4,111677
XBPEW,XBPEW,0.05,0.02,57.73,15544
MRNO,MRNO,0.34,0.12,56.68,325292530
BETRW,BETRW,0.14,0.05,54.59,22798
TJGC,TJGC,16.84,5.83,52.95,2528031
BCTXZ,BCTXZ,0.21,0.07,51.43,10740
ZTG,ZTG,1.81,0.61,50.83,58228039
DAAQW,DAAQW,0.12,0.04,49.81,1202
FVNNU,FVNNU,23.14,7.36,46.64,3373
TNMG,TNMG,3.87,1.18,43.87,36136320
