symbol,name,price,change,pct_change,volume
FBDT,FBDT,4.15,-10.85,-72.33,1124530
RNWWW,RNWWW,0.0,-0.0,-70.59,1437242
TNONW,TNONW,0.01,-0.01,-51.36,532525
ARQQW,ARQQW,0.01,-0.0,-48.04,230123
OSRHW,OSRHW,0.03,-0.03,-47.92,2465
MRNX,MRNX,74.24,-67.4,-47.59,1876757
PFSA,PFSA,7.57,-6.0,-44.22,782625
GWH,GWH,0.39,-0.29,-42.44,4506622
RDACU,RDACU,5.81,-4.14,-41.61,28
CDTG,CDTG,1.83,-1.18,-39.2,18132580
TNON,TNON,7.07,-4.34,-38.04,1797361
EVEX+,EVEX+,0.09,-0.06,-37.68,52426
NEOVW,NEOVW,0.8,-0.47,-37.01,123
LGCL,LGCL,0.08,-0.05,-35.26,122540354
TWLVR,TWLVR,0.15,-0.08,-34.78,52701
BZFDW,BZFDW,0.01,-0.01,-34.13,2624
ONFO,ONFO,1.57,-0.8,-33.76,931720
HACQW,HACQW,0.46,-0.23,-33.61,1
ZTG,ZTG,1.1,-0.54,-32.93,5876881
ASBPW,ASBPW,0.02,-0.01,-32.91,246465
