symbol,name,price,change,volume
RITR,RITR,0.09,0.01,456187867
MMA,MMA,0.56,0.18,349645610
OMH,OMH,0.1,0.02,308091213
MSTU,MSTU,2.44,0.33,242759686
BTCT,BTCT,1.47,0.63,147227454
MGN,MGN,0.11,0.01,143080593
BITO,BITO,9.81,0.56,134680774
LGCL,LGCL,0.08,-0.05,122540354
SPCX,SPCX,134.0,-5.65,118968725
TSLL,TSLL,8.88,-0.31,116878051
IBIT,IBIT,41.2,2.42,107162868
ABEV,ABEV,2.83,0.02,107066765
MRNA,MRNA,133.32,-41.06,97336409
SNXX,SNXX,15.1,0.52,91622816
NVDA,NVDA,216.85,-0.71,89654079
ETHA,ETHA,17.55,1.67,88916317
INTC,INTC,92.13,-0.67,85071269
WMT,WMT,103.84,-10.46,83149159
HUIZ,HUIZ,1.84,0.38,81034280
MARA,MARA,11.15,1.5,79463830
