symbol,name,price,change,volume
NCPL,NCPL,0.58,0.32,482871169
AIXI,AIXI,1.31,0.85,238986415
TNMG,TNMG,0.57,0.17,194835171
DAIC,DAIC,3.88,2.15,127923849
FNGR,FNGR,0.17,-0.02,121260215
NVDA,NVDA,213.05,4.57,118615507
LGCL,LGCL,0.04,-0.0,107072894
RZLV,RZLV,2.96,0.53,97017114
NVD,NVD,4.36,-0.21,89208501
TSLL,TSLL,9.09,0.05,84334464
INTC,INTC,87.48,0.22,80706011
OFAL,OFAL,1.05,0.32,77600365
BITO,BITO,10.65,0.03,76444055
NU,NU,15.14,0.38,76134405
SWVL,SWVL,2.21,0.72,75589502
PRZO,PRZO,0.82,0.19,73758486
PATH,PATH,16.65,0.08,70102863
SNXX,SNXX,12.84,-0.21,66878852
AAL,AAL,13.95,0.32,64675910
PLUG,PLUG,2.27,0.1,63669478
