symbol,name,price,change,volume
RITR,RITR,0.26,0.12,711867114
CISS,CISS,0.11,0.02,573842464
ONFO,ONFO,0.07,-0.01,225845341
SPCX,SPCX,108.27,-17.06,201185897
SXTC,SXTC,0.07,-0.06,160066192
DVLT,DVLT,0.28,-0.09,155997290
NVDA,NVDA,219.22,7.28,155411750
MSTU,MSTU,1.94,0.03,139636834
ONDS,ONDS,8.87,0.01,107356193
SNXX,SNXX,11.38,-1.39,100084676
RCON,RCON,0.06,-0.35,97638911
TSLL,TSLL,7.77,-0.3,90764840
BJDX,BJDX,1.24,0.24,89067568
INTC,INTC,101.06,0.2,84242410
NVD,NVD,4.15,-0.32,80757159
PATH,PATH,13.83,-0.27,77213470
BITO,BITO,8.77,0.09,74789165
SNAP,SNAP,5.33,-0.47,74737902
ZYBT,ZYBT,2.36,1.08,70479460
TQQQ,TQQQ,72.84,-1.98,69091848
