symbol,name,price,change,volume
MSTU,MSTU,2.1,0.41,235746260
DVLT,DVLT,0.3,-0.09,198430929
MRNA,MRNA,174.38,111.42,187013791
BITO,BITO,9.24,0.52,146617716
SNXX,SNXX,14.52,-1.14,139114835
IBIT,IBIT,38.78,2.18,136592484
YJ,YJ,4.25,2.51,128185345
TSLL,TSLL,9.19,0.71,113146349
INTC,INTC,92.8,-3.88,108832414
NU,NU,14.59,0.23,102677972
ETHA,ETHA,15.88,1.44,96263452
AAL,AAL,13.86,-0.19,95599090
NVDA,NVDA,217.56,-2.18,95581102
WBS,WBS,77.6,-0.37,91288400
BTCT,BTCT,0.84,0.37,81562736
NOK,NOK,10.13,-0.26,79340529
SOXL,SOXL,120.6,-8.5,75969157
SPCX,SPCX,139.65,-3.69,75116533
SAN,SAN,14.14,-0.1,73454468
PATH,PATH,15.78,0.2,72818761
