symbol,name,price,change,volume
SOXS,SOXS,4.08,0.01,520212589
ZBAO,ZBAO,0.42,0.13,316481310
DFNS,DFNS,0.12,-0.03,284876424
BITO,BITO,8.67,0.1,270746155
TZA,TZA,3.98,0.05,211592396
SNDQ,SNDQ,2.38,-0.17,154203299
NVDA,NVDA,210.96,8.18,147207687
JZXN,JZXN,2.17,1.0,144645207
GMM,GMM,4.57,2.72,136609988
NU,NU,13.75,0.08,122497769
SKHYV,SKHYV,168.01,19.01,106126804
SOFI,SOFI,18.78,0.16,91269758
HAO,HAO,0.36,-0.71,87046152
YHC,YHC,0.02,-0.01,85215078
ELPW,ELPW,0.3,-0.27,83126934
AAL,AAL,16.95,-0.11,82032719
PATH,PATH,11.68,-0.12,75024681
SUNE,SUNE,3.83,1.27,74459823
OPEN,OPEN,4.76,-0.54,72531933
BURU,BURU,0.15,0.01,72424171
