symbol,name,price,change,pct_change,volume
NXTC,NXTC,6.58,4.4,201.83,109965049
FGIWW,FGIWW,0.09,0.05,136.22,3147
PTORW,PTORW,0.68,0.33,95.43,64041
PRENW,PRENW,0.02,0.01,87.06,147918
EOSER,EOSER,0.04,0.02,78.57,167488794
VEEAW,VEEAW,0.07,0.03,64.39,2142
RNWWW,RNWWW,0.0,0.0,61.9,10000
ASTLW,ASTLW,0.03,0.01,57.89,160
CNEY,CNEY,0.75,0.27,56.35,51924108
VEEE,VEEE,38.51,13.65,54.91,22911745
IVDAW,IVDAW,0.04,0.01,51.91,100
AMPGR,AMPGR,1.85,0.62,50.41,58830
NVNIW,NVNIW,0.04,0.01,47.77,3485
LEDS,LEDS,2.24,0.72,47.37,45082642
TNONW,TNONW,0.01,0.0,44.59,2539
CRMT,CRMT,4.28,1.26,41.72,3986182
TAVIR,TAVIR,0.12,0.03,41.01,11351
SHPH,SHPH,4.16,1.2,40.54,53028582
NXGLW,NXGLW,0.03,0.01,39.22,3006
AFJKR,AFJKR,0.14,0.04,39.2,62538
