symbol,name,price,change,volume
SOXS,SOXS,4.3,-0.35,486646275
BITO,BITO,8.76,0.32,407622389
PMI,PMI,0.15,0.01,348289195
TZA,TZA,4.04,-0.04,219857897
LCDL,LCDL,0.29,-0.3,179658940
EOSER,EOSER,0.04,0.02,167488794
LCID,LCID,4.62,-0.89,153316866
NU,NU,13.97,0.3,152104607
AAL,AAL,15.67,-0.64,138281559
SNDQ,SNDQ,2.68,-0.31,129089016
NVDA,NVDA,211.8,8.27,122886603
HAO,HAO,0.28,0.02,113377187
NXTC,NXTC,6.58,4.4,109965049
ONDS,ONDS,7.36,0.4,108132994
OPEN,OPEN,4.55,0.07,98086018
LHAI,LHAI,1.22,0.22,92670573
VMAR,VMAR,1.32,-0.09,91669460
INTC,INTC,107.76,4.64,90556078
SOFI,SOFI,18.55,0.42,89084103
DRAM,DRAM,61.15,3.85,85933183
