symbol,name,price,change,pct_change,volume
SXTC,SXTC,0.33,-1.69,-83.53,59165440
ASTLW,ASTLW,0.0,-0.01,-62.38,3001
ZCMD,ZCMD,1.73,-2.56,-59.67,29022609
MTEKW,MTEKW,0.11,-0.1,-47.1,7716
LESL,LESL,1.33,-1.08,-44.81,2071338
NVVE,NVVE,3.23,-2.56,-44.21,11539707
CISS,CISS,0.96,-0.67,-40.98,843150
ORIQW,ORIQW,0.11,-0.07,-40.0,910
XBPEW,XBPEW,0.04,-0.02,-37.44,800
PSQH+,PSQH+,0.02,-0.01,-36.78,6601
TMCWW,TMCWW,0.04,-0.02,-35.18,75588
RSVRW,RSVRW,0.01,-0.01,-33.33,27538
ALVOW,ALVOW,0.15,-0.07,-31.79,11599
DFLIW,DFLIW,0.04,-0.01,-30.0,4011
TSLT,TSLT,10.84,-4.51,-29.38,6400738
TSLL,TSLL,7.76,-3.2,-29.2,209340164
TSLG,TSLG,3.86,-1.59,-29.17,39063381
TSLR,TSLR,13.37,-5.46,-29.02,2685033
TSLI,TSLI,14.52,-5.92,-28.96,119476
GRABW,GRABW,0.02,-0.01,-28.57,72416
