symbol,name,price,change,pct_change,volume
FGIWW,FGIWW,0.33,0.31,1399.55,1130167
SBFMW,SBFMW,0.06,0.03,95.83,25861
LGCL,LGCL,1.76,0.81,84.97,62294113
SAIHW,SAIHW,0.05,0.02,78.79,746
SLXNW,SLXNW,0.05,0.02,65.56,1289800
HUBCZ,HUBCZ,0.02,0.01,65.45,666
NVEC,NVEC,134.21,47.53,54.83,809633
EHGO,EHGO,2.71,0.95,53.98,79506348
PAVS,PAVS,5.91,2.03,52.32,16266497
LIMNW,LIMNW,0.08,0.03,52.15,8504
RVSNW,RVSNW,0.03,0.01,51.76,10440
WLDS,WLDS,2.23,0.75,50.68,25066289
WBUY,WBUY,1.12,0.36,47.76,172893731
CCIXW,CCIXW,0.02,0.01,47.75,387456
MNTSW,MNTSW,0.01,0.0,42.86,448624
CJMB,CJMB,2.35,0.67,39.88,31679352
VSEEW,VSEEW,0.03,0.01,39.32,1
ADVB,ADVB,16.78,4.53,36.98,11748595
SKYQ,SKYQ,5.64,1.51,36.56,33473553
LUCYW,LUCYW,0.07,0.02,36.55,320
