symbol,name,price,change,volume
LBGJ,LBGJ,0.03,-0.0,250845886
TSLL,TSLL,7.76,-3.2,209340164
NOK,NOK,9.73,-0.55,181058797
NU,NU,14.19,-0.32,180320387
WBUY,WBUY,1.12,0.36,172893731
BITO,BITO,8.78,-0.17,167446418
AAL,AAL,13.55,-1.24,121288878
TSLA,TSLA,319.69,-54.32,114296422
INTC,INTC,100.23,-2.39,112047245
NVDA,NVDA,208.76,-3.3,109608920
T,T,22.94,-0.1,103077652
MSTU,MSTU,1.79,-0.27,95478659
AEHL,AEHL,0.72,0.16,94692932
OPEN,OPEN,3.85,-0.54,85961380
ONDS,ONDS,7.93,-0.07,85681756
NVD,NVD,4.68,0.14,85059796
SMCI,SMCI,31.2,0.64,84004179
SNXX,SNXX,18.34,0.32,82031674
EHGO,EHGO,2.71,0.95,79506348
TQQQ,TQQQ,66.3,-3.98,78108810
