symbol,name,price,change,volume
CHOW,CHOW,0.51,0.16,237354241
RMCF,RMCF,1.52,0.85,200743796
SPCX,SPCX,146.15,12.86,165157127
SMCI,SMCI,37.61,6.01,163926882
INTC,INTC,100.95,3.24,160644426
OFAL,OFAL,1.36,0.65,147855049
VBIO,VBIO,0.23,-0.08,130007330
BQ,BQ,1.22,0.41,119179844
BIVI,BIVI,1.56,0.29,118502055
NOK,NOK,10.34,0.9,115301035
BYND,BYND,0.41,-0.0,108765393
NVDA,NVDA,224.09,6.59,105690901
TSLL,TSLL,8.05,-0.26,105036351
RCON,RCON,0.03,-0.01,102862742
MSTU,MSTU,1.79,-0.06,93322723
PLUG,PLUG,2.29,0.07,91018987
CRWV,CRWV,107.73,17.41,86702070
ONDS,ONDS,9.77,0.03,81945915
NVD,NVD,3.96,-0.25,77249029
HTZ,HTZ,2.8,0.35,76400575
