symbol,name,price,change,volume
FNGR,FNGR,0.4,0.22,1220108689
LGCL,LGCL,0.04,-0.01,294520307
CHAI,CHAI,0.4,0.15,291782993
CYAB,CYAB,0.45,0.14,211570788
NVDA,NVDA,217.55,-10.43,193204283
CHGA,CHGA,0.14,0.01,147576930
PCG,PCG,16.61,-1.33,114230985
NVD,NVD,4.05,0.32,106048633
NCPL,NCPL,0.69,0.15,105441896
BITO,BITO,10.45,-0.34,103770967
IREN,IREN,35.45,-5.08,88630178
INTC,INTC,89.47,-2.62,84847257
NU,NU,14.29,-0.59,79119459
IBIT,IBIT,43.9,-1.39,76104845
XTNT,XTNT,0.41,0.08,75961709
TSLL,TSLL,8.98,-0.33,74790624
ONDS,ONDS,7.9,-0.85,69265078
AAL,AAL,13.64,-0.08,63069742
DUO,DUO,0.96,0.26,63061706
SOXL,SOXL,111.39,-11.66,59761778
