symbol,name,price,change,volume
GPRO,GPRO,1.7,0.31,275716073
DVLT,DVLT,0.2,-0.07,244472199
TSLL,TSLL,9.15,-1.23,134846226
NVDA,NVDA,230.36,1.91,131784191
BAOS,BAOS,0.33,0.05,121429125
IMRN,IMRN,1.8,0.68,120268257
PATH,PATH,15.21,-3.02,104305876
OFAL,OFAL,0.78,0.1,98178147
NVD,NVD,3.6,-0.05,95674702
SNXX,SNXX,17.35,3.28,94975101
INTC,INTC,95.8,4.13,94740464
CDTG,CDTG,1.32,0.42,84748685
AAL,AAL,13.13,0.16,73074347
BITO,BITO,10.74,-0.27,66088898
TSLA,TSLA,354.08,-22.29,64386846
SOXL,SOXL,117.54,10.8,62745834
AMC,AMC,2.64,0.1,56837071
SNDQ,SNDQ,11.74,-3.72,55288516
SOXS,SOXS,46.35,-5.25,54226646
ADBT,ADBT,0.33,-0.01,53643285
