symbol,name,price,change,volume
SOXS,SOXS,3.87,0.62,674173900
LHAI,LHAI,2.74,2.08,313387362
TZA,TZA,3.84,0.05,234612959
BITO,BITO,8.14,0.17,227957100
DXF,DXF,0.89,0.53,215816216
YHC,YHC,0.05,-0.03,187287429
INLF,INLF,0.03,-0.02,186435402
AAL,AAL,18.15,0.08,166601684
NVDA,NVDA,197.58,-2.51,141568116
T,T,20.49,-0.21,129404008
GSUN,GSUN,0.37,0.04,119181123
GPUS,GPUS,0.15,0.01,113919374
INTC,INTC,127.02,-12.61,110807383
SPCX,SPCX,157.54,-13.32,105281199
DVLT,DVLT,0.4,0.05,104225389
MSTU,MSTU,1.85,0.23,99885831
OPEN,OPEN,4.94,0.32,98928178
MBGL,MBGL,20.88,0.0,97482628
SOC,SOC,4.39,1.31,90381765
ONDS,ONDS,7.92,-0.32,87764564
