symbol,name,price,change,pct_change,volume
ALIT,ALIT,13.64,13.09,2381.8,1753378
UVIX,UVIX,62.95,59.71,1842.9,985795
LHAI,LHAI,2.74,2.08,315.15,313387362
TC,TC,4.8,2.95,159.46,64719829
DXF,DXF,0.89,0.53,144.19,215816216
QTEXW,QTEXW,0.02,0.01,126.0,21396
FGIWW,FGIWW,0.14,0.07,112.31,72361
SDOT,SDOT,72.0,36.91,105.19,6590812
EHGO,EHGO,2.66,1.36,104.62,56395350
MDCXW,MDCXW,0.63,0.31,97.37,1204
PIIIW,PIIIW,0.02,0.01,63.73,1984033
NXGLW,NXGLW,0.04,0.01,59.32,52
CANF,CANF,4.7,1.73,58.25,57143607
BFRIW,BFRIW,0.03,0.01,57.92,704
ICUCW,ICUCW,0.02,0.01,54.36,309080
EVLVW,EVLVW,0.01,0.0,53.85,332059
CDTTW,CDTTW,0.02,0.01,53.64,5403
ERNAW,ERNAW,0.11,0.04,51.61,88
SCLXW,SCLXW,0.18,0.06,46.94,11583
EDBLW,EDBLW,0.06,0.02,45.65,13204
