symbol,name,price,change,pct_change,volume
NIXXW,NIXXW,0.0,-0.01,-80.17,133606
MFPVV,MFPVV,38.98,-71.02,-64.56,112201
HUBCZ,HUBCZ,0.01,-0.01,-55.42,47601
RQI^,RQI^,0.01,-0.01,-55.03,1711711
LUCYW,LUCYW,0.03,-0.03,-54.77,55
INLF,INLF,0.03,-0.02,-42.96,186435402
GDEVW,GDEVW,0.0,-0.0,-41.89,145122
KTTAW,KTTAW,0.01,-0.0,-39.33,45128
DFSCW,DFSCW,0.02,-0.01,-38.86,400
EUDAW,EUDAW,0.02,-0.01,-34.58,45162
NBIL,NBIL,37.7,-19.45,-34.03,3994927
NBIG,NBIG,26.22,-13.52,-34.02,3584885
NEBX,NEBX,39.01,-19.73,-33.6,4229952
YHC,YHC,0.05,-0.03,-33.54,187287429
DSYWW,DSYWW,0.02,-0.01,-31.97,9074
JLHL,JLHL,11.09,-5.13,-31.63,122171
SBXD+,SBXD+,0.11,-0.05,-30.62,668
SSTK,SSTK,9.9,-4.05,-29.03,4083834
FLYX+,FLYX+,0.15,-0.06,-28.57,250
GLU-A,GLU-A,60.02,-23.98,-28.55,5156
