symbol,name,price,change,volume
SOXS,SOXS,4.52,0.66,918379974
LIMN,LIMN,0.14,0.03,511415489
TZA,TZA,3.92,0.08,330673280
CWD,CWD,1.23,0.58,330470704
BITO,BITO,8.34,0.21,205848645
SURG,SURG,0.57,0.16,175501108
INLF,INLF,0.02,-0.01,160134315
SNDQ,SNDQ,3.02,0.68,153065563
NVDA,NVDA,194.83,-2.75,133998684
AAL,AAL,17.92,-0.23,129730920
T,T,20.57,0.09,127053030
INTC,INTC,120.35,-6.67,122335340
MSTU,MSTU,2.14,0.29,120324243
TSLL,TSLL,12.3,-2.2,97009325
DRAM,DRAM,60.72,-5.14,96569009
SNXX,SNXX,23.74,-9.74,90776190
SOXL,SOXL,181.54,-36.01,89907683
YHC,YHC,0.05,-0.01,89670491
OPEN,OPEN,4.9,-0.04,89631191
TQQQ,TQQQ,73.35,-4.11,86752311
