symbol,name,price,change,pct_change,volume
ERNAW,ERNAW,0.04,-0.07,-63.0,18799
AMPGR,AMPGR,1.0,-1.13,-53.05,19874
RCKTW,RCKTW,0.0,-0.0,-51.61,191025
TE+,TE+,0.07,-0.07,-49.29,324889
TC,TC,2.93,-1.87,-38.96,1569939
UCTX,UCTX,17.42,-10.84,-38.36,35539
ELTX,ELTX,3.22,-1.92,-37.35,4279936
KVACW,KVACW,0.02,-0.01,-37.15,7184
BEATW,BEATW,0.02,-0.01,-36.67,97522
ACMM,ACMM,21.43,-12.17,-36.21,45095
ACLZ,ACLZ,17.02,-9.65,-36.19,896
ILLRW,ILLRW,0.04,-0.02,-35.78,32744
LHAI,LHAI,1.76,-0.98,-35.77,19600155
CDTTW,CDTTW,0.01,-0.01,-35.5,43106
JLHL,JLHL,7.22,-3.87,-34.9,134849
FOMG,FOMG,8.13,-4.32,-34.67,18387
AEHG,AEHG,7.01,-3.7,-34.55,148192
NCRA,NCRA,0.07,-0.03,-34.39,8068139
INLF,INLF,0.02,-0.01,-34.15,160134315
TGE+,TGE+,0.12,-0.06,-33.28,3700
