symbol,name,price,change,pct_change,volume
EVLVW,EVLVW,0.03,0.01,124.17,2291955
CLRO,CLRO,6.48,3.25,100.62,82795350
LIMNW,LIMNW,0.07,0.03,98.58,18636
NRSNW,NRSNW,0.13,0.06,94.03,6
HUBCZ,HUBCZ,0.02,0.01,93.46,13183
CWD,CWD,1.23,0.58,90.61,330470704
KTTAW,KTTAW,0.01,0.0,83.33,5399
BRLSW,BRLSW,0.06,0.02,62.39,47082
YRD,YRD,1.41,0.5,55.8,55675540
USDEW,USDEW,0.7,0.25,55.56,1583392
DSY,DSY,4.47,1.59,55.21,22504279
RQI^,RQI^,0.01,0.01,50.51,3574501
ASBPW,ASBPW,0.03,0.01,45.85,108
SABSW,SABSW,0.01,0.0,43.27,100220
ZOOZW,ZOOZW,0.03,0.01,42.5,4579
DSYWW,DSYWW,0.03,0.01,40.0,59170
WALDW,WALDW,0.06,0.02,39.01,23107
SURG,SURG,0.57,0.16,38.08,175501108
MDCXW,MDCXW,0.86,0.23,36.51,54108
MWHS,MWHS,30.6,7.97,35.25,7199
